B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A86310,R200845,H1748,"Queen Esthers resolves: or, A princely pattern of heaven-born resolution, for all the lovers of God and their country: opened in a sermon preached before the Honourable House of Commons, at the monethly fast, May 27, 1646. / By Richard Heyricke, Warden of Christs Colledge in Manchester in Lancashire, and one of the Assembly of Divines.","Heyrick, Richard, 1600-1667.",Printed by J Macock for Luke Favvne and are to be sold at his shop at the sign of the Parrot in Pauls Church yard,London,"O.T.; Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English; Esther IV, 16",1646
A89564,R20669,M752,"A divine project to save a kingdome: Opened in a sermon to the Right Honorable the Lord Maior and court of aldermen, of the citie of London, at their anniversary meeting on Easter Munday, Apr. 22. 1644. at Christ-Church. By Stephen Marshall, B.D. Minister of Gods word at Finchingfield in Essex. Imprimatur, Charles Herle.","Marshall, Stephen, 1594?-1655.",Printed by Richard Cotes for Stephen Bowtell and are to be sold at his shop at the signe of the Bible in Popes head Alley,London,"O.T.; Sermons.; Bible.; 17th century.; Sermons, English; Numbers XXV, 10-11",1644
A87152,R200002,H878,"True religion in the old way of piety and charity. Delivered in a sermon to the Lord Major and Court of Aldermen of this city of London, at their anniversary meeting on Munday (commonly called Easter-Munday) at the Spittle, 1645. / By Robert Harris B D. pastor of Hanwell, Oxon. and a member of the Assembly of Divines.","Harris, Robert, 1581-1658.",Printed for John Bartlet and are to be sold at his shop in Pauls Church yard at the signe of the Gilt Cup under Saint Austins Gate,London,"Sermons.; Bible.; 17th century.; Sermons, English; Acts X, 31; N.T.",1645
A85529,R7665,G1520,"Gods deliverance of man by prayer. And mans thankefulnesse to God in prayses. In a sermon by reason of the lecturers absence in the Church of Saint Bartholmewes Exchange, on Ash-Wendesday [sic], at the generall fast, proposed. But at that time by a company of church intruders very rudely opposed. And now at this time, for the publike satisfaction of all men faithfully in print exposed. by I. G. D.D. Rector there.","Grant, John, d. 1653.",Printed for Thomas Paybody dwelling in Queenes Head Court in Pater Noster Rovv,London,"O.T.; Fast-day sermons; Sermons; Psalms L, 15; Bible.; 17th century.; Sermons, English; Early works to 1800.",1642
A88141,R20324,L2053,"Elias redivivus: a sermon preached before the honorable House of Commons, in the parish of Saint Margarets West minster, at the publike fast, March 29, 1643. By John Lightfoote, preacher of the Gospel at Bartholomew Exchange, London.","Lightfoot, John, 1602-1675.",Printed by R Cotes for Andrew Crooke and are to be sold at his shop at the signe of the Greene Dragon in Pauls Church yard,London,"Fast-day sermons; Sermons; Luke I, 17; Bible.; 17th century.; Early works to 1800.; N.T.",1643
A82313,R200942,D918,"The building and glory of the truely Christian and spiritual church. Represented in an exposition on Isai. 54, from vers. 11. to the 17. Preached to His Excellency Sir Tho. Fairfax and the general officers of the army, with divers other officers, and souldiers, and people, at Marston, being the head-quarter at the leaguer before Oxford, June. 7. 1646. / By William Dell, minister of the Gospel, attending on His Excellencie Sir Thomas Fairfax in the Army. Together with a faithful testimony touching that valiant and victorious army, in the epistle to the reader. Published by authority.","Dell, William, d. 1664.",Printed for G Calvert at the Black Spread Eagle at the West end of Pauls,London,"Great Britain; O.T.; History; Sermons.; Soldiers; Sermons; Bible.; 17th century.; Early works to 1800.; Civil War, 1642-1649; Sermons, English; Isaiah LIV, 11-12",1646
A85443,R1423,G1268,"Zerubbabels encouragement to finish the temple. A sermon preached before the honourable House of Commons, at their late solemne fast, Apr. 27. 1642. By Tho. Goodwin, B.D. Published by order from that House.","England and Wales. Parliament. House of Commons.; Goodwin, Thomas, 1600-1680.",Printed for R Dawlman,London,"O.T.; Fast-day sermons; Sermons; Zechariah IV, 6-9; Bible.; 17th century.; Sermons, English; Early works to 1800.",1642
A88148,R200237,L2068,"A sermon preached before the Honorable House of Commons: at Margarets Westminster, upon the 26. day of August 1645. being the day of their solemne monethly fast. / By John Lightfoot, a member of the Assembly of Divines.","Lightfoot, John, 1602-1675.",Printed by R C for Andrew Crook and are to be sold at his shop at the signe of the Greene Dragon in Pauls Churchyard,London,"Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English; Revelation XX, 1-2; N.T.",1645
A85785,R202321,G2259,"The magistrates pourtraiture drawn from the Word, and preached in a sermon at Stowe-Market in Suffolk, upon August, the 20. 1656. before the election of Parliament-men for the same county. / By William Gurnall, M.A. of Eman. Coll. now pastor of the Church of Christ in Lavenham. Suffolk.","Gurnall, William, 1617-1679.",Printed for Ralph Smith at the Bible in Cornhil near the Royal Exchange,London,"Isaiah I, 26; O.T.; Sermons.; Bible.; 17th century.; Sermons, English",1656
A86132,R204194,H1240,"A sermon tending to peace. Preached before His Majesty, &c. at Newport in the Isle of Wight, during time of this late treaty. By William Haywood D.D. and chaplain in ordinary to His Majesty.","Haywood, William, 1599 or 1600-1663.",Printed by Fr Neile for Henry Seile,London,"Great Britain; History; Sermons; 17th century.; Sermons, English; Peace; Civil War, 1642-1649; Early works to 1800.",1648
A86289,R202486,H172,A sermon preached before the Kings Majesty at Whitehall on Friday the 22 of March anno 1660. / By John Hacket D.D. chaplain in ordinary to his Majesty. Publisht by his Majesties appointment.,"Hacket, John, 1592-1670.",Printed by W Wilson for John Place at Furnivalls Inn Gate in Holborn,London,"Acts XV, 39; Sermons; Bible.; 17th century.; Sermons, English; Early works to 1800.; N.T.",1660
A88789,R202684,L598,"Seven sermons preached upon severall occasions by the Right Reverend and learned Father in God, William Laud, late Arch-Bishop of Canterbury, &c.","Laud, William, 1573-1645.",Printed for R Lowndes at the White Lion in S Pauls Church yard,London,"17th century.; Sermons, English",1651
A85664,R17567,G1848,"Axinē pros tēn rhizan. = The axe at the root, a sermon preached before the Honourable House of Commons, at their publike fast, April 26. 1643. By William Greenhill.","Greenhill, William, 1591-1671.",Printed by R O G D for Benjamin Allen and are to be sold in Popes head Alley,London,"Fast-day sermons; Sermons; Matthew III, 10; Bible.; 17th century.; Sermons, English; Early works to 1800.; N.T.",1643
A87090,R206287,H715,"A divine prospective: representing the just mans peacefull end. In a funerall sermon preached at Katharine Creechurch, Aug. 14. 1649. at the enterrement of the remaines of the Right Worshipfull and truly religious, Sir John Gayr, Knight: deceased July 20. 1649. / By Nathaniel Hardy, M.A. and preacher to the parish of Dionis Back-Church.","Hardy, Nathaniel, 1618-1670.",Printed for John Clark and are to be sold at his shop under S Peters Church in Cornhill,London,"Gayer, John,; 17th century.; Early works to 1800.; Funeral sermons; Sir, d. 1649; Sermons, English",1649
A86053,R207013,G896,"Refreshing drops, and scorching vials; severally distributed to their proper subjects, according to the wisdom given that precious servant of the Lord, Mr. Christopher Goad. Sometimes Fellow of Kings Colledge in Cambridge, and Batchelor in Divinity, as men speak: but before his translation, became a disciple and learner again, sitting at the feet of Christ and his Spirit, where he took a higher degree, and now sits with Christ in heaven.","Goad, Christopher, 1601-1652.; Worsley, C.; Sprigg, Joshua, 1618-1684.; J. N.",Printed by R W for Giles Calvert and the sign of the Black spread Eagle at the west end of Pauls,London,"Early works to 1800.; Sermons, English",1653
A86299,nan,H1729,"The parable of the tares expounded & applyed, in ten sermons preached before his late Majesty King Charles the second monarch of Great Britain. / By Peter Heylin, D.D. To which are added three other sermons of the same author.","Heylyn, Peter, 1600-1662.",printed by J G for Humphrey Moseley at the Princes Arms in St Pauls Church yard,London,"17th century.; Sower (Parable); Early works to 1800.; Sermons, English",1659
A86987,R42409,H455B,"A sermon preached in the Cathedral & Metropolitical Church of St. Peter in York, on Sunday, Novemb. 17. 1695 by George Halley ...","Halley, George, 1655 or 6-1708.",Printed for Rob Clark,London,"O.T.; Sermons.; Bible.; 17th century.; Psalms, CXXII, 6; Sermons, English; Leeds, Thomas Osborne,; Duke of, 1631-1712.",1695
A85388,R3263,G116,"The tyranny of Satan, discovered by the teares of a converted sinner, in a sermon preached in Paules Church, on the 28 of August, 1642. By Thomas Gage, formerly a Romish Priest, for the space of 38 yeares, and now truly reconciled to the Church of England.","Gage, Thomas, 1603?-1656.",Printed by Tho Badger for Humphrey Mosley at the Prince s Armes in Pauls Church yard,London,"Luke XXII, 31-32; Sermons; Devil; Bible.; 17th century.; Sermons, English; Catholic Church; Controversial literature; Early works to 1800.; N.T.",1642
A89586,R16053,M789,"The song of Moses the servant of God, and the song of the Lambe: opened in a sermon preached to the Honorable House of Commons, at their late solemne day of thanksgiving, Iune 15. 1643. for the discovery of a dangerous, desperate, and bloudy designe, tending to the utter subversion of the Parliament, and of the famous city of London. / By Stephen Marshall, B.D. and Pastor of Finchingfield in Essex. Published by order of that House.","Marshall, Stephen, 1594?-1655.",Printed for Sam Man and Sam Gellibrand in Pauls Church yard,London,"Great Britain; 1642-1649; History; Fast-day sermons; Sermons.; Sermons; Bible.; 17th century.; Revelation XV, 2-4; Politics and government; Early works to 1800.; Sermons, English; Civil War, 1642-1649; N.T.",1643
A87086,R2445,H704,"The difficvlty of sions deliverance and reformation: together with the activitie which her friends should manifest during the time that her cause is in agitation. Delivered in a sermon at Margarets Westminster, before the honourable House of Commons on Wednesday morning, the twenty-sixt day of Iune. 1644. / By Humphrey Hardwick, Minister of the Word at Hadam Magna in the County of Hertfard, and one of the Assembly of Divines.","Hardwick, Humphrey, b. 1601 or 2.",Printed by I L for Christopher Meredith at the sign of the Crane in Pauls church yard,London,"O.T.; Fast-day sermons; Sermons; Bible.; 17th century.; Psalms CXXVI, 5-6; Early works to 1800.",1644
A86138,R204453,H1277B,"A three-fold cord to unite soules for ever unto God. 1. The mysterie of godlinesse opened. 2. The imitation of Christ proposed. 3. The crowne of afflicted saints promised. / As it was compacted by M. Richard Head, M.A. and sometimes minister of the Gospel, in his labours at Great Torrington in Devon. Published now, after his death, for publike profit.","Head, Richard, Rev.",Printed by E P for Fr Coles and are to be sold at his shop in the Old Bayly at the Signe of the Halfe Bowle,London,Christian life; Sermons; Early works to 1800.,1647
A87472,R42598,J144A,"The touchstone, or, Trial of tobacco whether it be good for all constitutions : with a word of advice against immoderate drinking and smoaking : likewise examples of some that have drunk their lives away, and died suddenly : with King Jame's [sic] opinion of tobacco, and how it came first into England : also the first original of coffee : to which is added, witty poems about tobacco and coffe [sic] : something about tobacco, written by George Withers, the late famous poet ...","Hancock, John, fl. 1669-1705.; Maynwaringe, Everard, 1628-1699?; Wither, George, 1588-1667.; Everard, Giles. De herba panacea. English. Selections. 1676.; James I, King of England, 1566-1625. Counterblaste to tobacco. 1676.; Hancock, John, fl. 1638-1675.; Ward, Samuel, 1577-1640. Woe to drunkards. 1676.; Thomson, George, fl. 1648-1679. Aimatiasis. Selections. 1676.; Sylvester, Josuah, 1563-1618. Tobacco battered, and the pipes shattered. 1676.",Printed and are to be sold by the several booksellers,London,Great Britain; Coffee; Coffee habit; Physiological effect; Tobacco; Alcoholism; Poetry; Tobacco habit; Smoking in art; Early works to 1800.,1676
